model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top_label_brier_score,expected_calibration_error
TF-IDF + Logistic Regression,0.8531215161649944,0.8755719581890842,0.834011082264442,0.8527810255664846,0.8533523856973853,0.103721,0.086608
TextCNN,0.8488015607580826,0.8483223901189063,0.8530357418559904,0.8501222406571417,0.849351993136123,0.107082,0.062794
