threshold,n_accepted,n_correct,coverage,auto_routed_accuracy,accuracy_ci_lower,manual_review_rate,meets_requirement
0.1,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.11,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.12,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.13,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.14,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.15,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.16,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.17,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.18,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.19,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.2,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.21,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.22,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.23,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.24,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.25,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.26,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.27,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.28,4779,4025,1.0,0.8422264071981586,0.8243980811646499,0.0,False
0.29,4778,4025,0.9997907512031806,0.8424026789451653,0.8245799423218454,0.00020924879681938346,False
0.3,4776,4025,0.9993722536095417,0.8427554438860971,0.8249439209074753,0.0006277463904582614,False
0.31,4772,4023,0.9985352584222641,0.8430427493713327,0.8252358045961674,0.0014647415777359063,False
0.32,4770,4022,0.9981167608286252,0.8431865828092243,0.8253819424423479,0.0018832391713747842,False
0.33,4768,4021,0.9976982632349864,0.8433305369127517,0.8255282111995637,0.002301736765013551,False
0.34,4767,4021,0.997489014438167,0.8435074470316761,0.8257107919660537,0.0025109855618330457,False
0.35,4762,4019,0.9964427704540699,0.8439731205375892,0.8261868548586457,0.003557229545930074,False
0.36,4759,4017,0.9958150240636117,0.8440848917839883,0.8262976452544084,0.004184975936388335,False
0.37,4755,4017,0.9949780288763339,0.844794952681388,0.8270306954374947,0.005021971123666091,False
0.38,4747,4016,0.9933040385017786,0.8460080050558247,0.8282810902159128,0.006695961498221381,False
0.39,4739,4012,0.9916300481272232,0.8465921080396708,0.8288752918089304,0.008369951872776782,False
0.4,4726,4008,0.9889098137685708,0.8480744815911976,0.8303978639090054,0.011090186231429211,False
0.41,4711,4002,0.9857710818162796,0.8495011674803651,0.8318590022125495,0.014228918183720407,False
0.42,4705,4002,0.9845155890353631,0.8505844845908608,0.8329793358437155,0.01548441096463693,False
0.43,4689,3995,0.9811676082862524,0.8519940285775218,0.8344216506392552,0.01883239171374762,False
0.44,4676,3989,0.9784473739276,0.8530795551753636,0.8355314854826321,0.02155262607240005,False
0.45,4664,3986,0.9759363883657669,0.8546312178387651,0.8371313218768829,0.024063611634233095,False
0.46,4650,3981,0.9730069052102951,0.8561290322580645,0.8386716306825853,0.026993094789704908,False
0.47,4630,3976,0.9688219292739066,0.8587473002159827,0.841374585190508,0.031178070726093354,False
0.48,4611,3970,0.9648462021343377,0.8609846020386034,0.8436822654005706,0.035153797865662306,False
0.49,4589,3960,0.9602427286043105,0.8629331008934409,0.8456827418351085,0.03975727139568952,False
0.5,4568,3949,0.9558485038711028,0.864492119089317,0.8472775833509246,0.04415149612889724,False
0.51,4534,3932,0.9487340447792425,0.8672254080282311,0.8500811207207988,0.0512659552207575,False
0.52,4503,3917,0.9422473320778405,0.869864534754608,0.8527940935945585,0.057752667922159495,False
0.53,4473,3900,0.935969868173258,0.8718980549966465,0.8548740738978833,0.064030131826742,False
0.54,4444,3889,0.9299016530654949,0.8751125112511251,0.8582015880501613,0.07009834693450512,False
0.55,4423,3879,0.925507428332287,0.8770065566357675,0.8601563311720384,0.07449257166771295,False
0.56,4397,3865,0.9200669596149822,0.8790084148282921,0.8622162810099538,0.0799330403850178,False
0.57,4371,3848,0.9146264908976773,0.8803477465110958,0.8635781224412504,0.08537350910232266,False
0.58,4346,3834,0.9093952709771919,0.8821905200184077,0.8654745599944177,0.09060472902280814,False
0.59,4322,3819,0.9043732998535259,0.8836186950485886,0.8669359400455537,0.09562670014647412,False
0.6,4297,3804,0.8991420799330404,0.8852687921805911,0.8686309207422123,0.1008579200669596,False
0.61,4269,3793,0.8932831136220967,0.8884984773951745,0.871994321979197,0.10671688637790333,False
0.62,4252,3784,0.8897258840761666,0.889934148635936,0.8734817306285299,0.1102741159238334,False
0.63,4224,3769,0.8838669177652229,0.892282196969697,0.8759160715889255,0.11613308223477714,False
0.64,4195,3751,0.8777987026574597,0.8941597139451728,0.8778510091179967,0.12220129734254026,False
0.65,4167,3733,0.871939736346516,0.8958483321334293,0.8795887623165629,0.128060263653484,False
0.66,4144,3720,0.8671270140196694,0.8976833976833977,0.8814940499059125,0.1328729859803306,False
0.67,4119,3706,0.8618957940991839,0.8997329448895363,0.883625519134954,0.13810420590081607,False
0.68,4088,3687,0.8554090813977819,0.901908023483366,0.8858807927019581,0.14459091860221807,False
0.69,4064,3670,0.850387110274116,0.9030511811023622,0.8870511588359579,0.14961288972588405,False
0.7,4040,3655,0.8453651391504499,0.9047029702970297,0.8887656450275665,0.15463486084955014,False
0.71,4008,3637,0.8386691776522285,0.907435129740519,0.8916210370905981,0.16133082234777152,False
0.72,3982,3621,0.8332287089349236,0.9093420391762933,0.8936090100392134,0.16677129106507638,False
0.73,3951,3598,0.8267419962335216,0.9106555302455075,0.8949522053562418,0.17325800376647837,False
0.74,3915,3570,0.8192090395480226,0.9118773946360154,0.8961873214318535,0.1807909604519774,False
0.75,3884,3549,0.8127223268466206,0.9137487126673532,0.8981317012717602,0.1872776731533794,False
0.76,3854,3529,0.8064448629420381,0.9156720290607161,0.9001365121990906,0.1935551370579619,True
0.77,3828,3511,0.8010043942247332,0.917189132706374,0.9017147019028396,0.19899560577526676,True
0.78,3794,3483,0.793889935132873,0.9180284659989457,0.9025461668616928,0.20611006486712702,True
0.79,3752,3457,0.7851014856664574,0.9213752665245203,0.9060687334937835,0.21489851433354257,True
0.8,3713,3428,0.7769407825905001,0.9232426609210881,0.9080041156111488,0.22305921740949985,True
0.81,3677,3402,0.769407825905001,0.9252107696491705,0.9100579631052905,0.230592174094999,True
0.82,3636,3369,0.7608286252354048,0.9265676567656765,0.911439985696938,0.23917137476459516,True
0.83,3589,3338,0.7509939317848923,0.93006408470326,0.9151384708220933,0.24900606821510773,True
0.84,3542,3307,0.7411592383343796,0.9336533032185206,0.9189501514593356,0.2588407616656204,True
0.85,3510,3283,0.7344632768361582,0.9353276353276353,0.9207102988095487,0.2655367231638418,True
0.86,3463,3252,0.7246285833856455,0.9390701703725094,0.924710661820004,0.2753714166143545,True
0.87,3424,3223,0.7164678803096882,0.9412967289719626,0.9270737322870806,0.2835321196903118,True
0.88,3381,3189,0.7074701820464532,0.9432120674356699,0.9290901373236637,0.2925298179535468,True
0.89,3324,3144,0.6955430006277464,0.9458483754512635,0.9318781823287039,0.30445699937225357,True
0.9,3262,3093,0.6825695752249424,0.9481912936848559,0.9343378738405896,0.31743042477505756,True
0.91,3185,3029,0.6664574178698472,0.9510204081632653,0.9373132746578312,0.33354258213015275,True
0.92,3124,2984,0.6536932412638627,0.9551856594110115,0.941841036892513,0.34630675873613725,True
0.93,3037,2922,0.6354885959405734,0.9621336845571288,0.9495055406363244,0.3645114040594266,True
0.94,2955,2852,0.6183301946013811,0.9651438240270728,0.9527590873365767,0.38166980539861894,True
0.95,2852,2760,0.596777568528981,0.967741935483871,0.9555105812502279,0.403222431471019,True
0.96,2735,2658,0.572295459301109,0.9718464351005485,0.9600095391383515,0.42770454069889097,True
0.97,2585,2523,0.5409081397781963,0.9760154738878143,0.9645691775330419,0.4590918602218037,True
0.98,2413,2368,0.5049173467252563,0.9813510153336096,0.9705864436078296,0.49508265327474366,True
0.99,2144,2114,0.4486294203808328,0.9860074626865671,0.9756824107491223,0.5513705796191672,True
