threshold,n_accepted,n_correct,coverage,auto_routed_accuracy,accuracy_ci_lower,manual_review_rate,meets_requirement
0.1,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.11,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.12,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.13,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.14,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.15,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.16,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.17,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.18,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.19,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.2,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.21,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.22,4779,4092,1.0,0.8562460765850597,0.8390403432620914,0.0,False
0.23,4778,4091,0.9997907512031806,0.8562159899539556,0.8390069962334901,0.00020924879681938346,False
0.24,4778,4091,0.9997907512031806,0.8562159899539556,0.8390069962334901,0.00020924879681938346,False
0.25,4777,4091,0.9995815024063611,0.8563952271299979,0.8391926568521211,0.00041849759363887795,False
0.26,4776,4091,0.9993722536095417,0.856574539363484,0.8393784058366902,0.0006277463904582614,False
0.27,4774,4090,0.9989537560159029,0.8567239212400503,0.8395309764055898,0.0010462439840971394,False
0.28,4774,4090,0.9989537560159029,0.8567239212400503,0.8395309764055898,0.0010462439840971394,False
0.29,4770,4088,0.9981167608286252,0.8570230607966457,0.8398365303053549,0.0018832391713747842,False
0.3,4769,4088,0.9979075120318058,0.8572027678758649,0.8400227279317459,0.0020924879681941677,False
0.31,4766,4087,0.9972797656413476,0.8575325220310533,0.8403622389879575,0.002720234358652429,False
0.32,4761,4085,0.9962335216572504,0.8580130224742701,0.8408558412408761,0.0037664783427495685,False
0.33,4758,4085,0.9956057752667922,0.8585540142917192,0.8414165906136061,0.00439422473320783,False
0.34,4754,4082,0.9947687800795145,0.85864535128313,0.8415047343195884,0.005231219920485475,False
0.35,4747,4078,0.9933040385017786,0.8590688856119655,0.8419351009754589,0.006695961498221381,False
0.36,4736,4075,0.9910023017367651,0.8604307432432432,0.8433408771760192,0.008997698263234932,False
0.37,4724,4071,0.988491316174932,0.8617696867061811,0.8447213604396439,0.011508683825067978,False
0.38,4715,4069,0.9866080770035572,0.8629904559915165,0.845984153578784,0.013391922996442762,False
0.39,4702,4063,0.9838878426449048,0.864100382815823,0.8471236785929532,0.01611215735509519,False
0.4,4690,4056,0.9813768570830718,0.864818763326226,0.8478546879619779,0.018623142916928237,False
0.41,4676,4050,0.9784473739276,0.8661248930710008,0.849198911128819,0.02155262607240005,False
0.42,4666,4047,0.9763548859594058,0.8673381911701672,0.8504537759254637,0.023645114040594217,False
0.43,4646,4035,0.9721699100230173,0.868489022815325,0.8516246695312043,0.027830089976982664,False
0.44,4622,4024,0.9671479388993514,0.8706187797490264,0.853817307911233,0.032852061100648644,False
0.45,4602,4018,0.9629629629629629,0.8730986527596697,0.8563875005522459,0.03703703703703709,False
0.46,4568,3999,0.9558485038711028,0.8754378283712785,0.8587852565501881,0.04415149612889724,False
